,Equity,Hero,Villain
72,0.8354694485842027,0.0,72.0
73,0.8328524524922893,0.0,73.0
74,0.8296856346995624,0.0,74.0
75,0.8209281526383782,0.0,75.0
76,0.8289944356120827,0.0,76.0
77,0.8246869409660107,0.0,77.0
78,0.8284918424194191,0.0,78.0
79,0.8356723400019908,0.0,79.0
80,0.8297745555665906,0.0,80.0
81,0.8310461416070007,0.0,81.0
82,0.8216807558428643,0.0,82.0
83,0.8324544821410804,0.0,83.0
84,0.8332339495130193,0.0,84.0
85,0.8304326205867727,0.0,85.0
86,0.8237810945273633,0.0,86.0
87,0.8258359872611466,0.0,87.0
88,0.8285714285714286,0.0,88.0
89,0.827393987656779,0.0,89.0
90,0.8279227245568612,0.0,90.0
91,0.8248233303473674,0.0,91.0
92,0.8344443338971246,0.0,92.0
93,0.8232720039781203,0.0,93.0
94,0.8288530465949822,0.0,94.0
95,0.8203521336914353,0.0,95.0
96,0.8285572139303483,0.0,96.0
97,0.8240565568057354,0.0,97.0
98,0.8237460191082803,0.0,98.0
99,0.8308105954989047,0.0,99.0
100,0.3916370226189677,1.0,0.0
101,0.49791554599246907,1.0,1.0
102,0.6039901828833821,1.0,2.0
103,0.6741515255399384,1.0,3.0
104,0.7003490557594201,1.0,4.0
105,0.7106068791644157,1.0,5.0
106,0.733587148296035,1.0,6.0
107,0.7288497217068646,1.0,7.0
108,0.7439012814428098,1.0,8.0
109,0.750968351440718,1.0,9.0
110,0.7521253223803611,1.0,10.0
111,0.7592111592111591,1.0,11.0
112,0.759996146064168,1.0,12.0
113,0.7565376821383769,1.0,13.0
114,0.7710948905109488,1.0,14.0
115,0.7707217298139671,1.0,15.0
116,0.7700446515239759,1.0,16.0
117,0.7743729872157705,1.0,17.0
118,0.7808018729880011,1.0,18.0
119,0.7740896221810017,1.0,19.0
120,0.7685683530678148,1.0,20.0
121,0.7742820738998334,1.0,21.0
122,0.7791801193620976,1.0,22.0
123,0.7836004326024972,1.0,23.0
124,0.7840786240786239,1.0,24.0
125,0.7899744948008632,1.0,25.0
126,0.7836726703210649,1.0,26.0
127,0.7807491888703175,1.0,27.0
128,0.7886298809875086,1.0,28.0
129,0.7874224977856511,1.0,29.0
130,0.7951416207710464,1.0,30.0
131,0.7964732538666142,1.0,31.0
132,0.7934503846912606,1.0,32.0
133,0.7933615680094555,1.0,33.0
134,0.800433625702178,1.0,34.0
135,0.796791970084629,1.0,35.0
136,0.8006920415224914,1.0,36.0
137,0.8048323471400395,1.0,37.0
138,0.8052127554546352,1.0,38.0
139,0.8009488041114845,1.0,39.0
140,0.8046534653465346,1.0,40.0
141,0.8046998420221169,1.0,41.0
142,0.8114851485148514,1.0,42.0
143,0.8049841772151899,1.0,43.0
144,0.8109418282548477,1.0,44.0
145,0.8065827302468525,1.0,45.0
146,0.8076923076923077,1.0,46.0
147,0.8086664028492284,1.0,47.0
148,0.8083440689723517,1.0,48.0
149,0.8060293534311781,1.0,49.0
150,0.8059331282865364,1.0,50.0
151,0.8134047194130478,1.0,51.0
152,0.811558287073751,1.0,52.0
153,0.8124689764717561,1.0,53.0
154,0.815204446208813,1.0,54.0
155,0.8092170465807731,1.0,55.0
156,0.8159199048374306,1.0,56.0
157,0.8162231930103256,1.0,57.0
158,0.8123202063287371,1.0,58.0
159,0.8169181890389197,1.0,59.0
160,0.8085972401469274,1.0,60.0
161,0.8127110228401191,1.0,61.0
162,0.8164299195390882,1.0,62.0
163,0.8095899930507297,1.0,63.0
164,0.8129717918156536,1.0,64.0
165,0.8098549572819392,1.0,65.0
166,0.8078910753329358,1.0,66.0
167,0.805839706028404,1.0,67.0
168,0.8152973940720111,1.0,68.0
169,0.8170695314831393,1.0,69.0
170,0.8171712158808933,1.0,70.0
171,0.8153784939818959,1.0,71.0
172,0.8161376977415182,1.0,72.0
173,0.812195848644354,1.0,73.0
174,0.811219415158146,1.0,74.0
175,0.8075355403121582,1.0,75.0
176,0.812754544551505,1.0,76.0
177,0.8136738547152936,1.0,77.0
178,0.8137176938369781,1.0,78.0
179,0.813835602822781,1.0,79.0
180,0.8091306942510443,1.0,80.0
181,0.8115162382944809,1.0,81.0
182,0.8100875447672105,1.0,82.0
183,0.8087708830548925,1.0,83.0
184,0.8153677714740718,1.0,84.0
185,0.8211617017036963,1.0,85.0
186,0.8083582089552239,1.0,86.0
187,0.8191415197689473,1.0,87.0
188,0.8062686567164178,1.0,88.0
189,0.8160644968647358,1.0,89.0
190,0.815792093995818,1.0,90.0
191,0.8187245050243758,1.0,91.0
192,0.8168523676880223,1.0,92.0
193,0.8140923566878981,1.0,93.0
194,0.8188333665140355,1.0,94.0
195,0.8119896434973113,1.0,95.0
196,0.806731056457234,1.0,96.0
197,0.818199920350458,1.0,97.0
198,0.8162797648699811,1.0,98.0
199,0.8152206395059269,1.0,99.0
200,0.33670465695524193,2.0,0.0
201,0.42515240460600584,2.0,1.0
202,0.5186827105763142,2.0,2.0
203,0.6050615477317725,2.0,3.0
204,0.6442178696002147,2.0,4.0
205,0.6591605116195279,2.0,5.0
206,0.6754825538233111,2.0,6.0
207,0.6849111049055199,2.0,7.0
208,0.7049382716049383,2.0,8.0
209,0.7146373792842264,2.0,9.0
210,0.7140671320646457,2.0,10.0
211,0.7284341978866474,2.0,11.0
212,0.7173536209553159,2.0,12.0
213,0.724939700916546,2.0,13.0
214,0.7298449612403101,2.0,14.0
215,0.7294357579877634,2.0,15.0
216,0.7354487054701188,2.0,16.0
217,0.738439024390244,2.0,17.0
218,0.7365135108769876,2.0,18.0
219,0.7394152732961768,2.0,19.0
220,0.7376455621880811,2.0,20.0
221,0.7446391853520024,2.0,21.0
222,0.7436550710436062,2.0,22.0
223,0.7456994003735378,2.0,23.0
224,0.742247872444488,2.0,24.0
225,0.7435645509923364,2.0,25.0
226,0.749558390578999,2.0,26.0
227,0.7597242737567701,2.0,27.0
228,0.7559388861508133,2.0,28.0
229,0.7531739002066725,2.0,29.0
230,0.756243854473943,2.0,30.0
231,0.7600748842250469,2.0,31.0
232,0.7571301687555511,2.0,32.0
233,0.7658315249556125,2.0,33.0
234,0.755757635662746,2.0,34.0
235,0.7680386931201263,2.0,35.0
236,0.7681674565560822,2.0,36.0
237,0.770767405063291,2.0,37.0
238,0.7702649268485567,2.0,38.0
239,0.7710104805220487,2.0,39.0
240,0.7732765451664027,2.0,40.0
241,0.7732162242179018,2.0,41.0
242,0.7807269485985936,2.0,42.0
243,0.782931170886076,2.0,43.0
244,0.7720755463265104,2.0,44.0
245,0.7746185852981969,2.0,45.0
246,0.7830263418498712,2.0,46.0
247,0.7830263418498712,2.0,47.0
248,0.7834836918806385,2.0,48.0
249,0.7856012658227848,2.0,49.0
250,0.7853532851055397,2.0,50.0
251,0.7757148530579825,2.0,51.0
252,0.7876834589448631,2.0,52.0
253,0.793435144783816,2.0,53.0
254,0.7867129400099158,2.0,54.0
255,0.7874156411274315,2.0,55.0
256,0.7905774773879336,2.0,56.0
257,0.7855299722111949,2.0,57.0
258,0.785551028520322,2.0,58.0
259,0.783805187091665,2.0,59.0
260,0.7873671665507995,2.0,60.0
261,0.789850034760155,2.0,61.0
262,0.7811879221295193,2.0,62.0
263,0.7962245404868357,2.0,63.0
264,0.7949965253648368,2.0,64.0
265,0.8012916045702931,2.0,65.0
266,0.7941059734074221,2.0,66.0
267,0.7951112877583466,2.0,67.0
268,0.7984503824376676,2.0,68.0
269,0.7947776012708498,2.0,69.0
270,0.7913276443738837,2.0,70.0
271,0.7967802842094802,2.0,71.0
272,0.7969775303241201,2.0,72.0
273,0.7962999801074199,2.0,73.0
274,0.7934804213873982,2.0,74.0
275,0.7929559247836035,2.0,75.0
276,0.7891386512830714,2.0,76.0
277,0.7851034208432776,2.0,77.0
278,0.8015517755893762,2.0,78.0
279,0.7998210023866348,2.0,79.0
280,0.8006961710591746,2.0,80.0
281,0.7974708752364831,2.0,81.0
282,0.7945859872611466,2.0,82.0
283,0.7949304174950298,2.0,83.0
284,0.7940212533518721,2.0,84.0
285,0.7960585249328158,2.0,85.0
286,0.8038825286212046,2.0,86.0
287,0.7999005469915464,2.0,87.0
288,0.7992239578151427,2.0,88.0
289,0.7978131212723658,2.0,89.0
290,0.7964971638969053,2.0,90.0
291,0.8049363057324841,2.0,91.0
292,0.8016331408086039,2.0,92.0
293,0.8018323043218483,2.0,93.0
294,0.8003980099502488,2.0,94.0
295,0.8022076372315036,2.0,95.0
296,0.7937219730941704,2.0,96.0
297,0.798984468339307,2.0,97.0
298,0.8022885572139304,2.0,98.0
299,0.8091967751567632,2.0,99.0
300,0.30863107185869126,3.0,0.0
301,0.37455830388692574,3.0,1.0
302,0.467579070349662,3.0,2.0
303,0.5563639476161946,3.0,3.0
304,0.5823481635231478,3.0,4.0
305,0.6113714182735629,3.0,5.0
306,0.6470971343505769,3.0,6.0
